x,y,u,v,p
5.0,1.4,-0.00010610069,-1.4237271e-05,-5.952381e-06
2.5986981,-0.90091246,3.42012e-05,-4.8951923e-05,-4.635711e-05
2.5986333,-0.80068034,-1.7417946e-05,-5.0825227e-05,-4.6137582e-05
2.7,-0.7,-6.2415646e-05,-4.835974e-05,-4.6673813e-05
2.8,-0.6,-0.0001039411,-4.4250406e-05,-4.6944122e-05
2.9,-0.5,-0.00014237533,-3.8655908e-05,-4.6970803e-05
3.0,-0.4,-0.00017725273,-3.1917938e-05,-4.6769866e-05
3.1,-0.3,-0.00020781437,-2.4519242e-05,-4.636242e-05
3.2,-0.2,-0.00023328088,-1.706193e-05,-4.577783e-05
3.3,-0.1,-0.0002531188,-1.0208415e-05,-4.505483e-05
3.4,3.2010585e-11,-0.0002672439,-4.5785478e-06,-4.4237255e-05
3.5,0.1,-0.00027608947,-6.471017e-07,-4.3370084e-05
3.6,0.2,-0.00028048942,1.3491356e-06,-4.2480126e-05
3.7,0.3,-0.00028144612,1.4227005e-06,-4.161614e-05
3.8,0.4,-0.0002799198,-2.5832514e-07,-4.077438e-05
3.9,0.5,-0.00027653758,-3.40238e-06,-3.991794e-05
4.0,0.6,-0.00027157136,-7.666385e-06,-3.9012215e-05
4.1,0.7,-0.0002649296,-1.272804e-05,-3.7972564e-05
4.2,0.8,-0.00025620323,-1.8261702e-05,-3.6687325e-05
4.3,0.9,-0.0002447466,-2.392343e-05,-3.5013745e-05
4.4,1.0,-0.00022971508,-2.9282935e-05,-3.2766115e-05
4.5,1.1,-0.00021007699,-3.3780416e-05,-2.972668e-05
4.6,1.2,-0.00018462563,-3.665165e-05,-2.5661291e-05
4.7,1.3,-0.00015181722,-3.691279e-05,-2.0335136e-05
4.8,1.4,-0.00010971423,-3.2947453e-05,-1.3562107e-05
4.9,1.5,-5.4994685e-05,-2.2999646e-05,-5.482034e-06
5.0,1.5,-5.3708056e-05,-1.5966247e-05,-2.0216146e-06
2.4970655,-0.9034,3.272729e-05,-5.1414005e-05,-4.5346005e-05
2.496086,-0.8048135,-1.6675001e-05,-5.3433705e-05,-4.5134737e-05
2.5981228,-0.70117337,-6.140413e-05,-5.1120798e-05,-4.573348e-05
2.6988873,-0.6003483,-0.00010181751,-4.713856e-05,-4.608954e-05
2.8,-0.5,-0.0001392318,-4.167699e-05,-4.6226152e-05
2.9,-0.4,-0.00017331517,-3.509296e-05,-4.6152847e-05
3.0,-0.3,-0.00020354173,-2.7782973e-05,-4.5898516e-05
3.1,-0.2,-0.00022916766,-2.0288491e-05,-4.5489513e-05
3.2,-0.1,-0.00024962818,-1.3219238e-05,-4.4958957e-05
3.3,3.4221435e-11,-0.00026472745,-7.1671325e-06,-4.4342392e-05
3.4,0.1,-0.00027473015,-2.6139692e-06,-4.367805e-05
3.5,0.2,-0.00028030245,1.3832192e-07,-4.2992455e-05
3.6,0.3,-0.0002823011,1.0318086e-06,-4.2295123e-05
3.7,0.4,-0.00028157432,1.7884952e-07,-4.1630643e-05
3.8,0.5,-0.00027879592,-2.2254546e-06,-4.0961095e-05
3.9,0.6,-0.0002742535,-5.8754827e-06,-4.0249848e-05
4.0,0.7,-0.00026789034,-1.0485596e-05,-3.9438084e-05
4.1,0.8,-0.00025933396,-1.5764916e-05,-3.8427195e-05
4.2,0.9,-0.00024793466,-2.1409938e-05,-3.708951e-05
4.3,1.0,-0.00023282893,-2.7062473e-05,-3.5257617e-05
4.4,1.1,-0.00021294448,-3.2267377e-05,-3.2728218e-05
4.5,1.2,-0.0001870069,-3.6417085e-05,-2.927184e-05
